,stop_id,stop_lat,stop_lon,stop_name,no_of_passengers_avg
59,5237,13.14909038,77.47662815,"Jyoti Vidyalaya Hospital,HASARAGHATTA,BESIDE SCHOOL",32
60,1814,12.92708823,77.56801955,"Post Office,BANASHANKARI, 2ND STAGE,IN FRONT OF NAGALAKSHMI KALYANA MANTAPA",9
61,2320,12.83830002,77.40269919,"Wonderla Park,OPPOSITE OF WONDERLA GATE",26
62,211,12.91140972,77.57413776,"JP Nagara 1st Phase,SHAKAMBARI NAGARA,BESIDE APOLLO PHARMACY",12
63,2932,13.03846114,77.50437172,"Nagasandra Cross,NAGASANDRA CROSS,BESIDE DHANVANTRI SCAN CENTER",30
64,5223,13.10659,77.56567,Atturu,7
65,4693,12.80979937,77.77501933,"Areneru,ANEKAL TALUKU,IN FRONT OF MILK PRODUCT CO-OPERATIVE SOCIETY",20
66,1967,12.75360441,77.45196809,"Gollahalli,H.GOLLAHALLI,OPPOSITE OF DOOR NO-65",14
67,2898,13.09405487,77.40558789,Weavers Colony,16
68,3076,13.10458527,77.44382552,"Kanva Gate,IN FRONT OF KANVA GARDEN CITY LAYOUT",36
69,3418,13.04604697,77.55656996,"BEL Circle,JALAHALLI,BESIDE PARK",12
70,2040,12.89933517,77.59160413,Vinayaka Nagara Telecome Layout,9
71,978,12.94939524,77.56777556,"Ramakrishna Ashrama,SHANKARAPURAM,IN FRONT OF SBI BANK",0
72,1270,12.933691,77.54205393,"Nanjundeswara traders,BANASHANKARI 3RD STAGE,BESIDE COFFEE DAY",0
73,2205,12.88778214,77.44406126,"Gerupalya,GERUPALYA,IN FRONT OF MICRO LABS INDIA LIMITED",20
74,461,13.02362636,77.5217239,"Rajagopalanagara Police Station,PEENYA 2ND STAGE, 3RD PHASE,IN FRONT OF INDOVEDIC NUTRIENTS PVT LTD",39
75,2644,12.96248074,77.34300942,"TGHalli TB Gate,THIPPAGONDANAHALLI,IN FRONT OF T.B.GATE",20
76,693,12.91379,77.59505,"Water Tank Raggigudda,JP NAGARA 3RD PHASE,OPPOSITE OF B.W.S.S.B.",19
77,5108,13.22614806,77.83634687,"Thaniyur,THANIYURU,OPPOSITE OF GOVT. PRIMARY SCHOOL",21
78,2330,12.85051033,77.42416757,"Tibetian College,IN FRONT OF SEVEN HILLS GREEN PARK RESTAURANT",37
79,136,12.9843197,77.75256358,Hope Form,11
80,1112,13.02474754,77.60334846,"Aralimara Sulthanpalya,SULTHANPALYA, RT NAGARA,IN FRONT OF RAMAKRISHNA APARTMENT",11
81,4049,13.01434309,77.65102135,"Banaswadi,DODDA BANASAWADI,IN FRONT OF BEAUTY CORNER",17
82,4516,12.92136,77.7364,"Ganjoor,GUNJURU,OPPOSITE OF N.R ENTERPRISE",13
83,4182,12.97574217,77.61347738,"Manipal Center,M.G.ROAD,BESIDE MILITARY GATE",40
84,4836,12.83782308,77.72452412,"Narayana Ghatta,ANEKAL TALUK,OPPOSITE OF ASHWATHA KATTE",10
85,3804,13.18363839,77.68113239,"Beguru,BEGURU,BESIDE POULTRY FARM",36
86,3959,13.197215,77.614799,Navarathna Agrahara,6
87,1850,12.82008989,77.51323879,Udi Palya Kanakapura Road,1
88,3935,13.10243881,77.62895774,"Ittige Factory Yalahanka,BELAHALLI,BESIDE SAPTHAGIRI MEDICALS AND GENERAL STORES",9
89,4492,12.91538522,77.76590003,"Kathruguppe,OPPOSITE OF ASHWATHA KATTE",45
90,4433,13.0234248,77.87690766,"Kattiganahalli,IN FRONT OF MASJID",16
91,3778,13.09465348,77.74295882,"Kattugollahalli Gate,KATTUGOLLAHALLI,OPPOSITE OF ANJANEYA TEMPLE",1
92,5188,13.08943924,77.55616922,"Chikkabettahalli,CHIKKA BETTAHALLI,BESIDE IMAGE DIGITAL STUDIO",20
93,129,12.95631467,77.7317545,Siddapura,8
94,2715,12.99218,77.4943,Madeshwara Nagara,11
95,1573,12.96435292,77.54312421,"Raliway Gate RPC Layout,VIJAYANAGARA 2ND STAGE,SLV CONDIMENTS",6
96,2197,13.09236738,77.39477517,"Sondekoppa Bypass,NELAMANGALA,BESIDE OPEN AREA",8
97,2570,12.94876,77.501526,"Bangalore University Administrative Block,Bangalore Univesity ,Near Netaji Vana Bangalore University",5
98,3819,13.1808934,77.71472102,"HUNASOORU,OPPOSITE OF ANJANEYA TEMPLE",19
99,688,12.96331988,77.64122758,"Doopanahalli ,INDIRA NAGARA,BESIDE PLUS",42
100,1870,12.78058439,77.49654237,"Sommanahalli Gate Kanakapura Road,SOMANAHALLI,OPPOSITE OF VENKATESHWARA BAKERY",2
101,2405,12.89385743,77.36156699,"Gollahalli,OPPOSITE OF GOVT. SCHOOL",24
102,4384,13.09241,77.79329,Kumbala Halli,13
103,4551,12.87926747,77.76154577,Chambenahalli,2
104,4099,13.0287028,77.66386284,"Jayanthi Nagar,JAYANTHI NAGARA,IN FRONT OF GANESHA BAKERY",12
105,3413,13.06690902,77.51588487,"Medarahalli Railway Cross,SHETTIHALLI,BESIDE AMBEDKAR BHAVAN",35
106,4036,13.24267429,77.82262131,"I Basapura,OPPOSITE OF MILK DAIRY",42
107,523,12.92549401,77.49936587,RV College,14
108,992,12.99667723,77.5679794,"Malleshwaram Circle,KC GENERAL HOSPITAL,OPPOSITE OF ICICI BANK",42
109,4990,12.762832,77.670513,Nayanahalli,35
110,4455,12.97883,77.73448,Pattandur Agrahara,1
111,1775,12.93426093,77.53855454,"Banashankari 3rd Stage 2rd Phase,BANASHANKARI 3RD STAGE DWARAKA NAGARA,OPPOSITE OF RATNAGIRI PUBLIC SCHOOL",15
112,518,12.91611473,77.48218418,Jn of Kommaghatta Road,8
113,4942,12.80306756,77.65146703,"Kyalasanahalli,HULIMANGALA POST & JIGANI HUBLI,OPPOSITE OF VEENA PROVISION STORE",41
114,4296,12.97331972,77.6200002,Lido,25
115,2807,12.91921897,77.38213611,"Muddana Palya,IN FRONT OF REVANA SIDDESHWARA PROVISION STORE",6
116,4708,12.90246654,77.62746338,"Hongsandra,HONGASANDRA,NEAR TEMPLE",44
117,4566,12.92675,77.75687,Halasahalli,28
118,5207,13.02874672,77.53616296,"Reliance Petrol Bunk Guragunte palya,INDUSTRIAL SUB-URBAN YESHAWANTHA PARK - 3RD STAGE,IN FRONT OF RELIANCE PETROL BUNK",15
119,3525,13.16554114,77.6514017,"Uttarahalli,UTTANAHALLI,OPPOSITE OF DHANALAKSHMI TEMPLE",5
120,272,12.91394365,77.60012383,MICO Checkpost,13
121,2404,12.88543286,77.3583054,"Pachepalya Cross,BESIDE OPEN AREA",25
122,3316,13.13550752,77.49117463,"TB Stop Tumkur Road,I.I.H.R.HESARAGHATTA,BESIDE OPEN AREA",18
123,277,12.88429,77.59663,Jn of 80 Feet Road,2
124,3301,13.04961817,77.53798299,"HMT Shopping Complex,H.M.T.,IN FRONT OF H.M.T.QUARTERS",15
125,3801,13.12211869,77.63034864,"Rava College,KOTTIGENAHALLI,BESIDE KARNATAKA RESTAURANT",12
126,4268,12.99311467,77.8229859,"Kanekallu,IOC ROAD,IN FRONT OF ANGANAVADI KENDRA",22
127,4969,12.72195843,77.68222947,"Gowrenahalli,Opp to open area",35
128,2372,12.89177974,77.37631453,"Byalalu,BYALALU,IN FRONT OF ANJANEYA TEMPLE",15
129,3948,13.20423526,77.64577267,"JD Garden,SADAHALLI,IN FRONT OF JADE GARDEN",6
130,4841,12.80202237,77.69415942,"Kittagana halli,BOMMASANDRA POST,OPPOSITE OF REVANN BUILDING & ASHWATA KATTE",21
131,5046,12.706362,77.650025,Thammanayakanahalli,13
132,1096,12.91696,77.55939,Padmanabhanagara Circle,19
133,2109,12.89917929,77.48753852,"Sridhara Gudda,KODIPALYA,IN FRONT OF AMARAVATHI CONDIMENTS",5
134,2185,12.99406172,77.40206625,"Metipalya,METTI PALYA,BESIDE OPEN AREA",0
135,1228,13.00025982,77.56536802,"Malleshwaram 8th Cross,MALLESHWARAM,OPPOSITE OF R.V.APARTMENTS",8
136,635,13.05754887,77.59193773,"Kodigehalli,KODIGEHALLI,BESIDE PETTY SHOP",19
