,stop_id,stop_name
81,309,"Lalbhagh Main Gate,AL-AMEEN COLLEGE,OPPOSITE OF LALBHAG MAIN GATE"
82,2503,"Devagere Colony,DEVAGERE COLONY,NEAR  GOVERNMENT PRIMARY SCHOOL"
83,2088,"Chowdareddy Circle,ANEKAL,IN FRONT OF CORPORATION BANK"
84,132,Brook Bond
85,2156,"Jn of Kommaghatta Road,KENGERI UPANAGARA,OPPOSITE OF ASHIRWAD DENTAL CLINIC"
86,3797,"Marenahalli,MARENAHALLI,IN FRONT OF GOVERNMENT SCHOOL"
87,5181,"Rajajinagar ESI,RAJAJINAGARA,BESIDE KEB POWER HOUSE"
88,3006,"TVS Cross ,PEENYA 2ND STAGE, 3RD PHASE,OPPOSITE OF CENLUBE INDUSTRIES LTD"
89,2247,"Mallathahalli,MALLATHAHALLI,BESIDE BHAGAVAN BUDDA HOMEOPATHIC MEDICAL COLLEGE"
90,4251,"Devalapura,IOC ROAD,IN FRONT OF KAVERI BAKERY"
91,1582,"Modi Hospital,MAHALAKSHMIPURAM,IN FRONT OF M.C.MODI EYE HOSPITAL"
92,5213,"Devi Nagara,LOTTEGOLLAHALLI,BESIDE OPEN AREA"
93,1433,"Water Tank Raggigudda,JP NAGARA 3RD PHASE,BESIDE OF B.W.S.S.B."
94,1354,"Kathariguppe Aralimara,VIVEKANANDA NAGARA,IN FRONT OF GANESHA TEMPLE"
95,4770,"Channakeshvanagar,CHANNAKESHAVA NAGARA, ELECTRONIC CITY POST,BESIDE CHANNAKESHAVA HIGH SCHOOL"
96,4963,Gottigere High School Himagiri
97,91,"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER"
98,395,Bamboo Bazaar
99,2090,"Kaggalipura,KAGLIPURA,IN FRONT OF GANESHA TEMPLE"
100,2139,"Kommagatta,KOMMAGATTA,IN FRONT OF ANJANEYA TEMPLE"
101,3141,"Aluru Palya,ALURU PALYA,IN FRONT OF PROVISION STORE"
102,5152,"Bhakthara Halli Cross,BHAKTHARAHALLI,OPPOSITE OF POULTRY"
103,4724,Nayanappanahalli Cross
104,2359,"Bananduru,BANANDURU,IN FRONT OF HUCHAMMA TEMPLE"
105,4350,"Bhattaramarenahalli,B.MARENAHALLI,IN FRONT OF OVER HEAD TANK"
106,3365,Rajkumar Samadhi
107,712,East West College Cross
108,2946,"Sapthagiri Hospital,GELYARA BALAGA,BESIDE SAPTHAGIRI HOSPITAL"
109,2145,"Ramasandra Cross,KOMMAGATTA,BESIDE OPEN AREA"
110,2843,"Bettenahalli ,BETTAHALLI,BESIDE ANJANEYA TEMPLE"
111,2201,"BGS Hospital,NEAR ABHIMAN STUDIO,OPPOSITE OF B.G.S.ARCH"
112,2761,"Jogerahalli,JOGERAHALLI,IN FRONT OF KAALA BYRAVA TEMPLE"
